 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:           589         863320  [I (java.base@17.0.7)
   2:          2554         159880  [B (java.base@17.0.7)
   3:           675          83080  java.lang.Class (java.base@17.0.7)
   4:          1046          72392  [Ljava.lang.Object; (java.base@17.0.7)
   5:          2250          54000  java.lang.String (java.base@17.0.7)
   6:            20          43216  [C (java.base@17.0.7)
   7:          1056          33792  java.util.HashMap$Node (java.base@17.0.7)
   8:           913          29216  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.7)
   9:           284          27600  [Ljava.util.HashMap$Node; (java.base@17.0.7)
  10:           287          13776  java.util.HashMap (java.base@17.0.7)
  11:            18          10976  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.7)
  12:           362           8688  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.7)
  13:           324           7776  java.util.KeyValueHolder (java.base@17.0.7)
  14:           128           6992  [Ljava.lang.String; (java.base@17.0.7)
  15:           275           6600  java.util.ImmutableCollections$Set12$1 (java.base@17.0.7)
  16:           265           6360  java.util.ImmutableCollections$Set12 (java.base@17.0.7)
  17:            64           5120  java.net.URI (java.base@17.0.7)
  18:           185           4440  java.util.ImmutableCollections$SetN$SetNIterator (java.base@17.0.7)
  19:           133           4256  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.7)
  20:           256           4096  java.lang.Integer (java.base@17.0.7)
  21:           256           4096  java.util.Optional (java.base@17.0.7)
  22:            11           4048  java.lang.Thread (java.base@17.0.7)
  23:            63           4032  java.lang.module.ModuleDescriptor (java.base@17.0.7)
  24:            69           3864  java.lang.Module (java.base@17.0.7)
  25:           161           3864  java.util.ImmutableCollections$SetN (java.base@17.0.7)
  26:            63           3528  jdk.internal.module.Builder (java.base@17.0.7)
  27:            63           3528  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.7)
  28:           207           3312  java.util.HashSet (java.base@17.0.7)
  29:            63           2584  [Ljava.lang.module.ModuleDescriptor$Exports; (java.base@17.0.7)
  30:            37           2368  java.util.concurrent.ConcurrentHashMap (java.base@17.0.7)
  31:            97           2328  java.lang.StringBuilder (java.base@17.0.7)
  32:            65           2296  [Ljava.lang.module.ResolvedModule; (java.base@17.0.7)
  33:            63           2016  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.7)
  34:            63           1704  [Ljava.lang.module.ModuleDescriptor$Requires; (java.base@17.0.7)
  35:            64           1536  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.7)
  36:            63           1512  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.7)
  37:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.7)
  38:            63           1512  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.7)
  39:            63           1384  [Ljava.lang.module.ModuleDescriptor$Provides; (java.base@17.0.7)
  40:            55           1320  java.util.ImmutableCollections$List12 (java.base@17.0.7)
  41:            78           1248  java.lang.Object (java.base@17.0.7)
  42:             6           1224  [Ljava.util.Map$Entry; (java.base@17.0.7)
  43:             4           1088  [J (java.base@17.0.7)
  44:             2           1072  [Ljava.lang.Integer; (java.base@17.0.7)
  45:            63           1032  [Ljava.lang.module.ModuleDescriptor$Opens; (java.base@17.0.7)
  46:            38            984  [Ljdk.internal.module.ServicesCatalog$ServiceProvider; (java.base@17.0.7)
  47:            61            976  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.7)
  48:            21            840  java.io.ObjectStreamField (java.base@17.0.7)
  49:            31            744  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.7)
  50:            29            696  java.util.jar.Attributes$Name (java.base@17.0.7)
  51:            19            608  java.util.Locale (java.base@17.0.7)
  52:            19            608  sun.util.locale.BaseLocale (java.base@17.0.7)
  53:            15            600  java.security.AccessControlContext (java.base@17.0.7)
  54:            12            576  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.7)
  55:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.7)
  56:            12            480  java.lang.OutOfMemoryError (java.base@17.0.7)
  57:            13            416  java.io.File (java.base@17.0.7)
  58:             4            416  java.util.jar.JarFile$JarFileEntry (java.base@17.0.7)
  59:            10            400  java.util.WeakHashMap$Entry (java.base@17.0.7)
  60:             7            392  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@17.0.7)
  61:             6            384  java.nio.DirectByteBuffer (java.base@17.0.7)
  62:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.7)
  63:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.7)
  64:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.7)
  65:            15            360  java.util.ImmutableCollections$ListN (java.base@17.0.7)
  66:             6            336  java.nio.DirectLongBufferU (java.base@17.0.7)
  67:             6            320  [Ljava.util.Hashtable$Entry; (java.base@17.0.7)
  68:             4            320  [S (java.base@17.0.7)
  69:             8            320  java.util.LinkedHashMap$Entry (java.base@17.0.7)
  70:             4            288  java.lang.reflect.Constructor (java.base@17.0.7)
  71:             6            288  java.util.Hashtable (java.base@17.0.7)
  72:             5            280  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@17.0.7)
