 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:          2220         117144  [B (java.base@17.0.7)
   2:           675          83080  java.lang.Class (java.base@17.0.7)
   3:           891          61360  [Ljava.lang.Object; (java.base@17.0.7)
   4:          2128          51072  java.lang.String (java.base@17.0.7)
   5:            12          41816  [C (java.base@17.0.7)
   6:          1028          32896  java.util.HashMap$Node (java.base@17.0.7)
   7:           913          29216  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.7)
   8:           264          24576  [Ljava.util.HashMap$Node; (java.base@17.0.7)
   9:           265          12720  java.util.HashMap (java.base@17.0.7)
  10:            18          10976  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.7)
  11:           362           8688  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.7)
  12:           256           6144  java.util.ImmutableCollections$Set12 (java.base@17.0.7)
  13:            63           5040  java.net.URI (java.base@17.0.7)
  14:           133           4256  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.7)
  15:           256           4096  java.lang.Integer (java.base@17.0.7)
  16:            11           4048  java.lang.Thread (java.base@17.0.7)
  17:            63           4032  java.lang.module.ModuleDescriptor (java.base@17.0.7)
  18:           134           3936  [I (java.base@17.0.7)
  19:            69           3864  java.lang.Module (java.base@17.0.7)
  20:            63           3528  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.7)
  21:           141           3384  java.util.ImmutableCollections$SetN (java.base@17.0.7)
  22:           200           3200  java.util.HashSet (java.base@17.0.7)
  23:            37           2368  java.util.concurrent.ConcurrentHashMap (java.base@17.0.7)
  24:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.7)
  25:            64           1536  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.7)
  26:            63           1512  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.7)
  27:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.7)
  28:            63           1512  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.7)
  29:            55           1320  java.util.ImmutableCollections$List12 (java.base@17.0.7)
  30:            76           1216  java.lang.Object (java.base@17.0.7)
  31:             4           1088  [J (java.base@17.0.7)
  32:             1           1040  [Ljava.lang.Integer; (java.base@17.0.7)
  33:            61            976  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.7)
  34:            19            848  [Ljava.lang.String; (java.base@17.0.7)
  35:            21            840  java.io.ObjectStreamField (java.base@17.0.7)
  36:            31            744  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.7)
  37:            27            648  java.util.jar.Attributes$Name (java.base@17.0.7)
  38:            19            608  java.util.Locale (java.base@17.0.7)
  39:            19            608  sun.util.locale.BaseLocale (java.base@17.0.7)
  40:            14            560  java.security.AccessControlContext (java.base@17.0.7)
  41:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.7)
  42:            12            480  java.lang.OutOfMemoryError (java.base@17.0.7)
  43:             6            384  java.nio.DirectByteBuffer (java.base@17.0.7)
  44:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.7)
  45:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.7)
  46:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.7)
  47:            15            360  java.util.ImmutableCollections$ListN (java.base@17.0.7)
  48:             6            336  java.nio.DirectLongBufferU (java.base@17.0.7)
  49:             4            320  [S (java.base@17.0.7)
  50:             4            288  java.lang.reflect.Constructor (java.base@17.0.7)
  51:            10            240  java.nio.charset.CoderResult (java.base@17.0.7)
  52:            10            240  java.nio.file.StandardOpenOption (java.base@17.0.7)
  53:             5            240  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.7)
  54:             9            216  java.util.ArrayList (java.base@17.0.7)
  55:             7            208  [Ljava.io.ObjectStreamField; (java.base@17.0.7)
  56:             5            200  java.security.ProtectionDomain (java.base@17.0.7)
  57:             5            200  java.util.WeakHashMap$Entry (java.base@17.0.7)
  58:             3            192  java.lang.Class$ReflectionData (java.base@17.0.7)
  59:             6            192  java.util.Hashtable$Entry (java.base@17.0.7)
  60:             3            168  java.nio.HeapByteBuffer (java.base@17.0.7)
  61:             2            160  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.7)
  62:             4            160  java.io.FileDescriptor (java.base@17.0.7)
  63:             5            160  java.lang.ref.ReferenceQueue (java.base@17.0.7)
  64:             4            160  java.lang.ref.SoftReference (java.base@17.0.7)
  65:             4            160  java.security.CodeSource (java.base@17.0.7)
  66:             5            160  java.util.ImmutableCollections$MapN (java.base@17.0.7)
  67:             4            160  java.util.LinkedHashMap$Entry (java.base@17.0.7)
  68:             3            144  java.lang.ThreadGroup (java.base@17.0.7)
  69:             3            144  java.util.Hashtable (java.base@17.0.7)
  70:             6            144  jdk.internal.perf.PerfCounter (java.base@17.0.7)
  71:             3            128  [Ljava.util.Hashtable$Entry; (java.base@17.0.7)
  72:             2            128  java.net.URL (java.base@17.0.7)
  73:             4            128  jdk.internal.loader.NativeLibraries (java.base@17.0.7)
  74:             2            128  sun.nio.cs.SingleByte$Encoder (java.base@17.0.7)
  75:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@17.0.7)
  76:             3            120  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.7)
  77:             5            120  sun.nio.fs.WindowsPathType (java.base@17.0.7)
  78:             3            112  [Ljava.lang.Thread; (java.base@17.0.7)
  79:             2            112  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.7)
  80:             7            112  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.7)
  81:             1            104  java.util.jar.JarFile$JarFileEntry (java.base@17.0.7)
  82:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@17.0.7)
  83:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@17.0.7)
  84:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@17.0.7)
  85:             1             96  [Lsun.util.locale.BaseLocale; (java.base@17.0.7)
  86:             3             96  java.lang.Runtime$Version (java.base@17.0.7)
  87:             3             96  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.7)
  88:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@17.0.7)
  89:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@17.0.7)
  90:             2             96  java.util.WeakHashMap (java.base@17.0.7)
  91:             2             96  sun.nio.cs.StreamEncoder (java.base@17.0.7)
  92:             5             88  [Ljava.lang.Class; (java.base@17.0.7)
